137.220.57.34
storage is already mounted
Directory is already present
[youtube] 09FM73Vs49o: Downloading webpage
[youtube] Downloading just video 09FM73Vs49o because of --no-playlist
[youtube] 09FM73Vs49o: Downloading MPD manifest
[download] Destination: ترتيل ،، حلقة يوم السبت 09-11-2019م-09FM73Vs49o.mp4

[download]  43.6% of 184.23MiB at 886.74KiB/s ETA 01:59
[download]  43.9% of 184.23MiB at 883.70KiB/s ETA 01:59
[download]  44.2% of 184.23MiB at 883.87KiB/s ETA 01:59
[download]  44.7% of 184.23MiB at 885.90KiB/s ETA 01:57
[download]  45.3% of 184.23MiB at 886.58KiB/s ETA 01:56
[download]  45.8% of 184.23MiB at 888.36KiB/s ETA 01:55
[download]  46.3% of 184.23MiB at 890.70KiB/s ETA 01:53
[download]  46.9% of 184.23MiB at 890.03KiB/s ETA 01:52
[download]  47.4% of 184.23MiB at 891.73KiB/s ETA 01:51
[download]  48.0% of 184.23MiB at 892.81KiB/s ETA 01:49
[download]  48.5% of 184.23MiB at 895.26KiB/s ETA 01:48
[download]  49.1% of 184.23MiB at 899.89KiB/s ETA 01:46
[download]  49.9% of 184.23MiB at 907.58KiB/s ETA 01:44
[download]  50.9% of 184.23MiB at 917.16KiB/s ETA 01:40
[download]  51.9% of 184.23MiB at 922.77KiB/s ETA 01:38
[download]  52.7% of 184.23MiB at 928.96KiB/s ETA 01:36
